phone,dni,apellidoynombre,numerocliente
988575273,48122633,JESUS RAMIREZ,1234
952409157,42866161,CARINA HUYHUA,1235
980405702,70309264,BEATRIZ MEZA,1236
963688021,42866161,JOEL MARTINEZ,1237
918222548,43612135,JAIR LINARES,1238
900463960,42864461,KAROLINE CHILL,1239
981234567,70102949,MARIA LOPEZ,1240
957845621,49123345,JUAN PEREZ,1241
981223344,47123456,SARA SOTO,1242
969845123,40112233,MIGUEL GARCIA,1243
978451236,42113456,ANA FERNANDEZ,1244
964712389,43124567,PEDRO RODRIGUEZ,1245
987451236,44125678,LUCIA MARTIN,1246
950123456,45126789,MATEO DIAZ,1247
913467890,46127890,ANDREA GOMEZ,1248
988576321,47128901,SOFIA HERRERA,1249
952468321,48129012,ALBERTO SANCHEZ,1250
980409876,49130123,CECILIA RAMOS,1251
963681234,50131234,ROBERTO MORENO,1252
918223456,51132345,ELENA RUIZ,1253
